maquina,tipo_rotura,cantidad,fecha
URDIDORA # 01,Moña,22,20260911
URDIDORA # 01,Interferencia entre hilos,9,20260911
URDIDORA # 01,Hilos sueltos,23,20260911
URDIDORA # 02,Interferencia entre hilos,13,20260911
URDIDORA # 02,Moña,7,20260911
URDIDORA # 02,Interferencia manipulacion,3,20260911
URDIDORA # 02,Cola o reserva,1,20260911
URDIDORA # 02,Hilos sueltos,5,20260911
URDIDORA # 03,Moña,4,20260911
URDIDORA # 03,Cola o reserva,1,20260911
URDIDORA # 03,Interferencia entre hilos,1,20260911
URDIDORA # 03,Baquelita,1,20260911
URDIDORA # 03,Hilos sueltos,3,20260911
